2022-03-03 15:15:25,112 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:15:25,454 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:15:25,473 - movie_logger - INFO - 1. 클라우스 영화 제목 클릭... :
2022-03-03 15:15:26,396 - movie_logger - INFO - 영화 평점 클릭...
2022-03-03 15:15:26,412 - movie_logger - INFO - 영화 제목 수집: 클라우스
2022-03-03 15:15:26,431 - movie_logger - INFO - iframe으로 전환
2022-03-03 15:15:29,862 - movie_logger - INFO - 79,클라우스
2022-03-03 15:15:29,892 - movie_logger - INFO - 80,클라우스
2022-03-03 15:15:30,021 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:30,058 - movie_logger - INFO - 81,클라우스
2022-03-03 15:15:30,088 - movie_logger - INFO - 82,클라우스
2022-03-03 15:15:30,118 - movie_logger - INFO - 83,클라우스
2022-03-03 15:15:30,149 - movie_logger - INFO - 84,클라우스
2022-03-03 15:15:30,179 - movie_logger - INFO - 85,클라우스
2022-03-03 15:15:30,209 - movie_logger - INFO - 86,클라우스
2022-03-03 15:15:30,240 - movie_logger - INFO - 87,클라우스
2022-03-03 15:15:30,272 - movie_logger - INFO - 88,클라우스
2022-03-03 15:15:30,303 - movie_logger - INFO - 89,클라우스
2022-03-03 15:15:30,335 - movie_logger - INFO - 90,클라우스
2022-03-03 15:15:30,463 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:30,498 - movie_logger - INFO - 91,클라우스
2022-03-03 15:15:30,530 - movie_logger - INFO - 92,클라우스
2022-03-03 15:15:30,560 - movie_logger - INFO - 93,클라우스
2022-03-03 15:15:30,591 - movie_logger - INFO - 94,클라우스
2022-03-03 15:15:30,622 - movie_logger - INFO - 95,클라우스
2022-03-03 15:15:30,653 - movie_logger - INFO - 96,클라우스
2022-03-03 15:15:30,683 - movie_logger - INFO - 97,클라우스
2022-03-03 15:15:30,713 - movie_logger - INFO - 98,클라우스
2022-03-03 15:15:30,745 - movie_logger - INFO - 99,클라우스
2022-03-03 15:15:30,776 - movie_logger - INFO - 100,클라우스
2022-03-03 15:15:30,902 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:30,937 - movie_logger - INFO - 101,클라우스
2022-03-03 15:15:30,969 - movie_logger - INFO - 102,클라우스
2022-03-03 15:15:31,000 - movie_logger - INFO - 103,클라우스
2022-03-03 15:15:31,031 - movie_logger - INFO - 104,클라우스
2022-03-03 15:15:31,063 - movie_logger - INFO - 105,클라우스
2022-03-03 15:15:31,094 - movie_logger - INFO - 106,클라우스
2022-03-03 15:15:31,127 - movie_logger - INFO - 107,클라우스
2022-03-03 15:15:31,158 - movie_logger - INFO - 108,클라우스
2022-03-03 15:15:31,191 - movie_logger - INFO - 109,클라우스
2022-03-03 15:15:31,224 - movie_logger - INFO - 110,클라우스
2022-03-03 15:15:31,359 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:31,397 - movie_logger - INFO - 111,클라우스
2022-03-03 15:15:31,429 - movie_logger - INFO - 112,클라우스
2022-03-03 15:15:31,464 - movie_logger - INFO - 113,클라우스
2022-03-03 15:15:31,497 - movie_logger - INFO - 114,클라우스
2022-03-03 15:15:31,531 - movie_logger - INFO - 115,클라우스
2022-03-03 15:15:31,562 - movie_logger - INFO - 116,클라우스
2022-03-03 15:15:31,592 - movie_logger - INFO - 117,클라우스
2022-03-03 15:15:31,624 - movie_logger - INFO - 118,클라우스
2022-03-03 15:15:31,655 - movie_logger - INFO - 119,클라우스
2022-03-03 15:15:31,688 - movie_logger - INFO - 120,클라우스
2022-03-03 15:15:31,831 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:31,869 - movie_logger - INFO - 121,클라우스
2022-03-03 15:15:31,904 - movie_logger - INFO - 122,클라우스
2022-03-03 15:15:31,936 - movie_logger - INFO - 123,클라우스
2022-03-03 15:15:31,968 - movie_logger - INFO - 124,클라우스
2022-03-03 15:15:32,001 - movie_logger - INFO - 125,클라우스
2022-03-03 15:15:32,034 - movie_logger - INFO - 126,클라우스
2022-03-03 15:15:32,068 - movie_logger - INFO - 127,클라우스
2022-03-03 15:15:32,102 - movie_logger - INFO - 128,클라우스
2022-03-03 15:15:32,134 - movie_logger - INFO - 129,클라우스
2022-03-03 15:15:32,168 - movie_logger - INFO - 130,클라우스
2022-03-03 15:15:32,297 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:32,334 - movie_logger - INFO - 131,클라우스
2022-03-03 15:15:32,368 - movie_logger - INFO - 132,클라우스
2022-03-03 15:15:32,401 - movie_logger - INFO - 133,클라우스
2022-03-03 15:15:32,434 - movie_logger - INFO - 134,클라우스
2022-03-03 15:15:32,466 - movie_logger - INFO - 135,클라우스
2022-03-03 15:15:32,498 - movie_logger - INFO - 136,클라우스
2022-03-03 15:15:32,530 - movie_logger - INFO - 137,클라우스
2022-03-03 15:15:32,561 - movie_logger - INFO - 138,클라우스
2022-03-03 15:15:32,594 - movie_logger - INFO - 139,클라우스
2022-03-03 15:15:32,629 - movie_logger - INFO - 140,클라우스
2022-03-03 15:15:32,760 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:32,797 - movie_logger - INFO - 141,클라우스
2022-03-03 15:15:32,829 - movie_logger - INFO - 142,클라우스
2022-03-03 15:15:32,864 - movie_logger - INFO - 143,클라우스
2022-03-03 15:15:32,898 - movie_logger - INFO - 144,클라우스
2022-03-03 15:15:32,932 - movie_logger - INFO - 145,클라우스
2022-03-03 15:15:32,964 - movie_logger - INFO - 146,클라우스
2022-03-03 15:15:32,995 - movie_logger - INFO - 147,클라우스
2022-03-03 15:15:33,028 - movie_logger - INFO - 148,클라우스
2022-03-03 15:15:33,062 - movie_logger - INFO - 149,클라우스
2022-03-03 15:15:33,095 - movie_logger - INFO - 150,클라우스
2022-03-03 15:15:33,231 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:33,274 - movie_logger - INFO - 151,클라우스
2022-03-03 15:15:33,306 - movie_logger - INFO - 152,클라우스
2022-03-03 15:15:33,341 - movie_logger - INFO - 153,클라우스
2022-03-03 15:15:33,373 - movie_logger - INFO - 154,클라우스
2022-03-03 15:15:33,407 - movie_logger - INFO - 155,클라우스
2022-03-03 15:15:33,440 - movie_logger - INFO - 156,클라우스
2022-03-03 15:15:33,475 - movie_logger - INFO - 157,클라우스
2022-03-03 15:15:33,511 - movie_logger - INFO - 158,클라우스
2022-03-03 15:15:33,544 - movie_logger - INFO - 159,클라우스
2022-03-03 15:15:33,579 - movie_logger - INFO - 160,클라우스
2022-03-03 15:15:33,712 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:33,753 - movie_logger - INFO - 161,클라우스
2022-03-03 15:15:33,789 - movie_logger - INFO - 162,클라우스
2022-03-03 15:15:33,823 - movie_logger - INFO - 163,클라우스
2022-03-03 15:15:33,855 - movie_logger - INFO - 164,클라우스
2022-03-03 15:15:33,890 - movie_logger - INFO - 165,클라우스
2022-03-03 15:15:33,922 - movie_logger - INFO - 166,클라우스
2022-03-03 15:15:33,957 - movie_logger - INFO - 167,클라우스
2022-03-03 15:15:33,991 - movie_logger - INFO - 168,클라우스
2022-03-03 15:15:34,025 - movie_logger - INFO - 169,클라우스
2022-03-03 15:15:34,062 - movie_logger - INFO - 170,클라우스
2022-03-03 15:15:34,193 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 15:15:34,232 - movie_logger - INFO - 171,클라우스
2022-03-03 15:15:34,264 - movie_logger - INFO - 172,클라우스
2022-03-03 15:15:34,300 - movie_logger - INFO - 173,클라우스
2022-03-03 15:15:34,335 - movie_logger - INFO - 174,클라우스
2022-03-03 15:15:34,369 - movie_logger - INFO - 175,클라우스
2022-03-03 15:15:34,402 - movie_logger - INFO - 176,클라우스
2022-03-03 15:15:34,436 - movie_logger - INFO - 177,클라우스
2022-03-03 15:15:34,470 - movie_logger - INFO - 178,클라우스
2022-03-03 15:15:34,503 - movie_logger - INFO - 179,클라우스
2022-03-03 15:15:34,538 - movie_logger - INFO - 180,클라우스
